dataset,field,threshold,lower_interval_em,distance,higher_interval_em,lower_interval_f1,distance,higher_interval_f1,samples,sample_size,len_lower,len_higher
squad_base,kth_sentence_new,0,<79.11875;83.94687499999999>,0,<77.684375;82.38125>,<86.53740097491065;89.90996304537433>,0,<85.80185392060197;89.34689269053591>,100,800,3571,6999
squad_base,kth_sentence_new,1,<78.0;83.565625>,0,<76.809375;81.565625>,<85.70008752005539;89.62586337185236>,0,<85.56159301414826;88.83365228819277>,100,800,6082,4488
squad_base,kth_sentence_new,2,<78.36875;83.190625>,0,<76.9875;81.63125>,<85.74660829634892;89.54869853519278>,0,<85.6628717174139;88.74015693371432>,100,800,7872,2698
squad_base,kth_sentence_new,3,<77.934375;83.0>,0,<75.934375;79.5>,<85.69257763233207;89.7275354081169>,0,<84.97881213163672;87.68591753010682>,100,800,9134,1436
squad_base,answer_subject_positions,0,<79.809375;84.07187499999999>,0,<77.625;82.5>,<86.92197916430143;89.9060129401046>,0,<85.94124015962619;89.68001675357004>,100,800,3049,4526
squad_base,answer_subject_positions,1,<79.434375;83.940625>,0.8625000000000114,<74.24375;78.57187499999999>,<86.93392715855123;90.35021718753967>,0,<83.82329586219382;87.1017981477801>,100,800,5903,1672
squad_base,answer_subject_positions,0,<79.796875;84.75625>,0,<77.809375;82.82187499999999>,<87.02199397082089;90.45492742756598>,0,<86.18868178150872;89.94063959906491>,100,800,3049,4526
squad_base,answer_subject_positions,1,<79.684375;83.940625>,1.1187500000000057,<74.75;78.565625>,<86.97624700191592;90.34926887935825>,0.0002805522878048805,<84.31182538474586;86.97596644962812>,100,800,5903,1672
